KVIS,Visalia,California,United States,36.318611,-119.392778,
KMMH,Yosemite National Park,California,United States,37.624049,-118.837772,
KALS,Alamosa,Colorado,United States,37.435000,-105.866667,
KASE,Aspen,Colorado,United States,39.223200,-106.869000,
KBKF,Aurora,Colorado,United States,39.701668,-104.751660,
KBJC,Broomfield,Colorado,United States,39.908889,-105.117222,
KAPA,Centennial,Colorado,United States,39.570129,-104.849294,
KCOS,Colorado Springs,Colorado,United States,38.805805,-104.700778,
KCEZ,Cortez,Colorado,United States,37.303000,-108.628056,
KAPA,Denver,Colorado,United States,39.570129,-104.849294,
KDRO,Durango,Colorado,United States,37.151516,-107.753770,
KEGE,Eagle,Colorado,United States,39.642556,-106.917694,
KFCS,Fort Carson,Colorado,United States,38.678394,-104.756581,
KFNL,Fort Collins,Colorado,United States,40.451828,-105.011336,
KGJT,Grand Junction,Colorado,United States,39.122413,-108.526735,
KGUC,Gunnison,Colorado,United States,38.533889,-106.933056,
KHDN,Hayden,Colorado,United States,40.481181,-107.217660,
KLHX,La Junta,Colorado,United States,38.049719,-103.509431,
KLAA,Lamar,Colorado,United States,38.069694,-102.688500,
KMTJ,Montrose,Colorado,United States,38.509794,-107.894242,
KPUB,Pueblo,Colorado,United States,38.289085,-104.496572,
KRIL,Rifle,Colorado,United States,39.526306,-107.726944,
KTEX,Telluride,Colorado,United States,37.953759,-107.908480,
KBDR,Bridgeport,Connecticut,United States,41.163472,-73.126167,
KDXR,Danbury,Connecticut,United States,41.371535,-73.482191,
KGON,Groton,Connecticut,United States,41.330056,-72.045139,
KHFD,Hartford,Connecticut,United States,41.736722,-72.649444,
KGON,Mystic,Connecticut,United States,41.330056,-72.045139,
KHVN,New Haven,Connecticut,United States,41.263750,-72.886806,
KIJD,Norwich,Connecticut,United States,41.744028,-72.180222,
KOXC,Oxford,Connecticut,United States,41.478556,-73.135250,
KOXC,Torrington,Connecticut,United States,41.478556,-73.135250,
KOXC,Waterbury,Connecticut,United States,41.478556,-73.135250,
KIJD,Willimantic,Connecticut,United States,41.744028,-72.180222,
KBDL,Windsor Locks,Connecticut,United States,41.938889,-72.683222,
KDOV,Dover,Delaware,United States,39.129539,-75.465958,
KGED,Georgetown,Delaware,United States,38.689194,-75.358889,
KILG,Wilmington,Delaware,United States,39.678722,-75.606528,
KAAF,Apalachicola,Florida,United States,29.727607,-85.027442,
KBOW,Bartow,Florida,United States,27.943400,-81.783400,
KCEW,Crestview,Florida,United States,30.778833,-86.522111,
KCTY,Cross City,Florida,United States,29.635528,-83.104750,
KDAB,Daytona Beach,Florida,United States,29.179917,-81.058056,
KDTS,Destin,Florida,United States,30.400061,-86.471477,
KFLL,Fort Lauderdale,Florida,United States,26.072583,-80.152750,
KFMY,Fort Myers,Florida,United States,26.586611,-81.863250,
KFPR,Fort Pierce,Florida,United States,27.497472,-80.372638,
KGNV,Gainesville,Florida,United States,29.690056,-82.271778,
KNIP,Jacksonville,Florida,United States,30.235834,-81.680556,
KNQX,Key West,Florida,United States,24.575834,-81.688889,
KLAL,Lakeland,Florida,United States,27.988917,-82.018556,
KMTH,Marathon,Florida,United States,24.726111,-81.051389,
KMLB,Melbourne,Florida,United States,28.102753,-80.645258,
KMIA,Miami,Florida,United States,25.793250,-80.290556,
KAPF,Naples,Florida,United States,26.152619,-81.775294,
KOCF,Ocala,Florida,United States,29.172500,-82.224167,
KOPF,Opa Locka,Florida,United States,25.907000,-80.278389,
KORL,Orlando,Florida,United States,28.545464,-81.332936,
KPAM,Panama City,Florida,United States,30.069567,-85.575417,
KPNS,Pensacola,Florida,United States,30.473425,-87.186611,
KPMP,Pompano Beach,Florida,United States,26.247139,-80.111056,
KPGD,Punta Gorda,Florida,United States,26.919722,-81.990556,
KSGJ,Saint Augustine,Florida,United States,29.959167,-81.339722,
KSPG,Saint Petersburg,Florida,United States,27.765111,-82.626972,
KSFB,Sanford,Florida,United States,28.777639,-81.237489,
KSRQ,Sarasota,Florida,United States,27.395444,-82.554389,
KTLH,Tallahassee,Florida,United States,30.396528,-84.350333,
KVPS,Valparaiso,Florida,United States,30.483250,-86.525400,
KVRB,Vero Beach,Florida,United States,27.655556,-80.417944,
KPBI,West Palm Beach,Florida,United States,26.683161,-80.095589,
KBOW,Winter Haven,Florida,United States,27.943400,-81.783400,
KABY,Albany,Georgia,United States,31.535500,-84.194500,
KAHN,Athens,Georgia,United States,33.948600,-83.326300,
KPDK,Atlanta,Georgia,United States,33.875611,-84.301972,
KDNL,Augusta,Georgia,United States,33.466503,-82.039381,
KBQK,Brunswick,Georgia,United States,31.258800,-81.466500,
KCSG,Columbus,Georgia,United States,32.516333,-84.938861,
KDNN,Dalton,Georgia,United States,34.722944,-84.870250,
KCSG,Fort Benning,Georgia,United States,32.516333,-84.938861,
KLHW,Fort Stewart,Georgia,United States,31.889097,-81.562333,
KGVL,Gainesville,Georgia,United States,34.272627,-83.830223,
KLGC,LaGrange,Georgia,United States,33.008861,-85.072611,
KLZU,Lawrenceville,Georgia,United States,33.978076,-83.962377,
KMCN,Macon,Georgia,United States,32.692850,-83.649211,
KMGE,Marietta,Georgia,United States,33.915382,-84.516319,
KCCO,Newnan,Georgia,United States,33.311566,-84.769755,
KFFC,Peachtree City,Georgia,United States,33.357250,-84.571833,
KRMG,Rome,Georgia,United States,34.350778,-85.158667,
KSSI,Saint Simons Island,Georgia,United States,31.151972,-81.391056,
KSVN,Savannah,Georgia,United States,32.010000,-81.145683,
KVLD,Valdosta,Georgia,United States,30.782500,-83.276700,
KWRB,Warner Robins,Georgia,United States,32.640144,-83.591850,
KWDR,Winder,Georgia,United States,33.982861,-83.667417,
PHHN,Hana,Hawaii,United States,20.795636,-156.014439,
PHTO,Hilo,Hawaii,United States,19.721375,-155.048469,
PHNL,Honolulu,Hawaii,United States,21.318681,-157.922428,
PHOG,Kahului,Hawaii,United States,20.898650,-156.430458,
PHKO,Kailua Kona,Hawaii,United States,19.738767,-156.045631,
PHNG,Kaneohe,Hawaii,United States,21.450453,-157.768000,
PHJH,Kapalua-West,Hawaii,United States,20.962936,-156.673031,
PHNY,Lanai City,Hawaii,United States,20.785611,-156.951419,
PHLI,Lihue,Hawaii,United States,21.975983,-159.338958,
PHBK,Waimea,Hawaii,United States,22.022833,-159.785000,
KBOI,Boise,Idaho,United States,43.564361,-116.222861,
KSUN,Hailey,Idaho,United States,43.504444,-114.296194,
KIDA,Idaho Falls,Idaho,United States,43.514556,-112.070750,
KLWS,Lewiston,Idaho,United States,46.374500,-117.015389,
KMLD,Malad City,Idaho,United States,42.170000,-112.289000,
KMYL,McCall,Idaho,United States,44.889722,-116.101389,
KMUO,Mountain Home,Idaho,United States,43.043603,-115.872431,
KPIH,Pocatello,Idaho,United States,42.909800,-112.596000,
KSMN,Salmon,Idaho,United States,45.123889,-113.881389,
KSUN,Sun Valley,Idaho,United States,43.504444,-114.296194,
KTWF,Twin Falls,Idaho,United States,42.481803,-114.487733,
KDPA,Aurora,Illinois,United States,41.907778,-88.248611,
KBLV,Belleville,Illinois,United States,38.545178,-89.835183,
KBMI,Bloomington,Illinois,United States,40.477111,-88.915917,
KCMI,Champaign,Illinois,United States,40.039250,-88.278056,
KMDW,Chicago,Illinois,United States,41.785972,-87.752417,
KDEC,Decatur,Illinois,United States,39.834564,-88.865689,
KJOT,Joliet,Illinois,United States,41.517778,-88.175556,
KIKK,Kankakee,Illinois,United States,41.071389,-87.846278,
KMWA,Marion,Illinois,United States,37.754957,-89.011094,
KMLI,Moline,Illinois,United States,41.448528,-90.507539,
KPIA,Peoria,Illinois,United States,40.664203,-89.693258,
KUIN,Quincy,Illinois,United States,39.942700,-91.194600,
KRFD,Rockford,Illinois,United States,42.195361,-89.097222,
KSPI,Springfield,Illinois,United States,39.844100,-89.677889,
KUGN,Waukegan,Illinois,United States,42.422161,-87.867908,
KBMG,Bloomington,Indiana,United States,39.146021,-86.616681,
KEVV,Evansville,Indiana,United States,38.036997,-87.532364,
KFWA,Fort Wayne,Indiana,United States,40.978472,-85.195139,
KGYY,Gary,Indiana,United States,41.616300,-87.412800,
KIND,Indianapolis,Indiana,United States,39.717331,-86.294383,
KGUS,Peru,Indiana,United States,40.648094,-86.152119,
KSBN,South Bend,Indiana,United States,41.708661,-86.317250,
KHUF,Terre Haute,Indiana,United States,39.451464,-87.307561,
KBRL,Burlington,Iowa,United States,40.783200,-91.125500,
KCID,Cedar Rapids,Iowa,United States,41.884694,-91.710806,
KCWI,Clinton,Iowa,United States,41.830750,-90.328972,
KOMA,Council Bluffs,Iowa,United States,41.303167,-95.894069,
KDSM,Des Moines,Iowa,United States,41.533972,-93.663083,
KDBQ,Dubuque,Iowa,United States,42.402000,-90.709472,
KFOD,Fort Dodge,Iowa,United States,42.551200,-94.191842,
KEOK,Keokuk,Iowa,United States,40.459908,-91.428501,
KMCW,Mason City,Iowa,United States,43.224700,-93.406700,
KSUX,Sioux City,Iowa,United States,42.402603,-96.384367,
KSPW,Spencer,Iowa,United States,43.165527,-95.202805,
KALO,Waterloo,Iowa,United States,42.557100,-92.400300,
KDDC,Dodge City,Kansas,United States,37.763400,-99.965600,
KEMP,Emporia,Kansas,United States,47.724000,10.311000,
KGCK,Garden City,Kansas,United States,37.927528,-100.724417,
KGLD,Goodland,Kansas,United States,39.370621,-101.698992,
KHYS,Hays,Kansas,United States,38.842200,-99.273200,
KHUT,Hutchinson,Kansas,United States,38.065500,-97.860600,
KLWC,Lawrence,Kansas,United States,39.009167,-95.217500,
KLBL,Liberal,Kansas,United States,37.044222,-100.959860,
KMHK,Manhattan,Kansas,United States,39.140972,-96.670833,
KIAB,McConnell Air Force Base,Kansas,United States,37.621853,-97.268192,
KIXD,New Century Aircenter,Kansas,United States,38.830917,-94.890306,
